id,text,created_at,baseline_sentiment,bert_sentiment
1910179703907901663,"@mossyborgar I've never applied for remote work, but i know a few companies with that position currently (Tesla, Amazon,Google, tech giants basically). Ill look around a bit as well and see what I can dig up for you",2025-04-10 03:55:05+00:00,positive,negative
1910179694575800605,"@ELonMuskNewssX @TuckerCNews Where can I get the
Tesla?",2025-04-10 03:55:03+00:00,positive,negative
1910179667912302993,"@TaraBull808 I missed this big upswing by a day, but I'm still putting money in Tesla and Nvidia tomorrow...
https://t.co/RJ6OsGCieP",2025-04-10 03:54:56+00:00,positive,neutral
1910179661742813541,@FutureAZA @Tesla_Asia @itskyleconner @WholeMarsBlog @SawyerMerritt Love your trip. Enjoy,2025-04-10 03:54:55+00:00,positive,negative
1910179649851654260,"Tesla's range-extending battery pack for the Cybertruck has mysteriously vanished, fueling speculation that another one of Elon Musk's promised innovations may be canceled.   https://t.co/5yWALKQRE9 https://t.co/3bA7SA7cTG",2025-04-10 03:54:52+00:00,positive,negative
1910179638925553984,@inflwx_7 I don't have any information from tesla,2025-04-10 03:54:49+00:00,positive,negative
1910179633255084485,"@PTrubey @vitrupo Similar to FSD, I'm assuming a company that has most money to burn that can most quickly iterate will win. Aka Tesla.",2025-04-10 03:54:48+00:00,positive,negative
1910179626355220525,@dlm_bmlawkc Tesla stock was $144 a year ago. 90% is solid.,2025-04-10 03:54:47+00:00,positive,negative
1910179622542881094,"Lol, they r using media to say “America is on top”

But America is just one country, there’s still hundreds more countries getting stuff for China.

BYD beats Tesla!

So US using all their media power to make themselves seem powerful.

No one believes your media anymore. https://t.co/QMYRbeQIwS",2025-04-10 03:54:46+00:00,positive,negative
1910179620865065263,@ByronDonalds @JusKimmee @Tesla Paid moron,2025-04-10 03:54:45+00:00,positive,negative
1910179609728926011,"@elonmusk @DefiyantlyFree Watching Schumer try to keep up with Elon on X is like watching a VHS tape challenge a Tesla. Outmatched, outdated, and glitching in public.",2025-04-10 03:54:43+00:00,positive,negative
1910179592297382136,@JackPosobiec I did!  I took my Tesla down to Nivida lane and ate an Apple.,2025-04-10 03:54:38+00:00,positive,positive
1910179589814436115,"@scotsrule08 @Tesla_AI @aelluswamy It did a safe change, didn't it?",2025-04-10 03:54:38+00:00,positive,negative
1910179587629138092,@inflwx_7 I haven't any idea about Tesla company or phone,2025-04-10 03:54:37+00:00,positive,negative
1910179568712888655,@ByronDonalds @Tesla who's the white 'mr t' to your right?,2025-04-10 03:54:33+00:00,positive,negative
1910179561611853856,@OOpFuture Tesla will prevail,2025-04-10 03:54:31+00:00,positive,negative
1910179561599639794,@BenSatterthwai2 @TuckerCarlson Ben Shathispants is obviously a Tesla terrorist.,2025-04-10 03:54:31+00:00,positive,negative
1910179559703478377,"Deranged woman in Las Vegas erupts in a fit of road rage, screaming at a Tesla driver and claiming that Elon ""owned people.""

""LOSER! And you're black? You know he owned people, right? You know he was a slave owner?"" https://t.co/4iLQJsvbnX",2025-04-10 03:54:31+00:00,positive,negative
1910179544331440220,"All these car companies are gonna start creating AI robots just like Optimus from Tesla! 

I see it! That’s gonna be the next big thing people are gonna be buying all these AI robots from these car companies like Tesla, Honda, Toyota, and the rest! 

Just watch that be the next",2025-04-10 03:54:27+00:00,positive,negative
1910179540472860808,"@elonmusk Can't wait til these SSI recipients get arrested, plus the people who approved this fraud. We some scalps, with or without the heads. God bless you Elon, now that we're drilling. There's electricity, I'll buy a Tesla 🇺🇲🇺🇲🇺🇲",2025-04-10 03:54:26+00:00,positive,positive
1910179486789738937,"@iamjasonlevin For car insurance, when Tesla FSD comes in full swing, I bet the car insurance market will have some significant changes. Anyone interested in that specific domain can think about that. 

Fewer accidents would mean fewer claims, which could shrink the overall risk pool that",2025-04-10 03:54:13+00:00,positive,negative
1910179486143758791,"@larsmoravy Tesla must fire Elon Musk before he destroys the brand.  It hurts me to say, as I was once a fan of his.   Musk is going off the deep end of sanity and must be fired before he takes down every Tesla employee, shareholder and driver.  Lars - I think you would be a great Tesla CEO!",2025-04-10 03:54:13+00:00,positive,neutral
1910179455626105027,https://t.co/U6atpg0CFX fuck ur nothing country dead fuck music or idiot media like government n dire any media gains a position so there fucked in the heads government or country music zeros dead @Tesla @UMichFootball @Lions @KateMiddStyle @CENTCOM,2025-04-10 03:54:06+00:00,positive,negative
1910179438568075271,"@elonmusk I'd proudly drive a Tesla, just can't afford it at this time. Living in CA @CAgovernor screwed me financially since I bought a home with having 2 kids.",2025-04-10 03:54:02+00:00,positive,negative
1910179433681478055,@TrumpBender_3 Democrats are such evil haters and they are so absorbed in their corrupt lying leaders that they can't appreciate this guy. I hope a lot the Dem voters who own Tesla's see the hatred their party has &amp; convert to be a Republican!,2025-04-10 03:54:01+00:00,positive,negative
1910179413632708887,"@cb_doge Sales still down in Europe !

JP Morgan says $120 is the price and he pulled the plug on a Tesla before !

You’ll have to look that one up !

Or ask Grok",2025-04-10 03:53:56+00:00,positive,negative
1910179406808490147,"@charliekirk11 Savings. What an interesting word. Savings, for whom? The country? Then where does it go? Space X, neuralink, starlink, Tesla? Doge boys took $1.3M for themselves. The working class is NOT seeing savings. MAGA is grifting, not helping uplift the lower classes.",2025-04-10 03:53:54+00:00,positive,negative
1910179377658171804,"@OOpFuture @SawyerMerritt Tesla needs more luxury models, as well as the compact. They have a done the mid range first.",2025-04-10 03:53:47+00:00,positive,negative
1910179349946605665,"#CryрtoРump🔥

➜ https://t.co/sMRxMNTnDt

📈 Make 150-250% within MINUTES! 🚀

r7DGuKVU @Kanecsha1 @bilalyoussef_b @Tesla_Mallorca @Bizcochuelo54 @moathsowwan @writing24 @nurlan_san @ltthao1181 @pili123andrea @garibong94 @kenavobot",2025-04-10 03:53:41+00:00,positive,negative
1910179344330449188,"#CryрtoРump🔥

➜ https://t.co/iLo1Tj50Qz

📈 Make 150-250% within MINUTES! 🚀

FOibQk5A @PaulMorale67115 @GaelCastell1 @SunflowrQuant @agustinrvr @serfroggo @AbbasIs93057153 @ahmadfayiz6 @amaobiagbo1 @GustavKroghen @Tesla_stock72 @Ibrahim82509233",2025-04-10 03:53:39+00:00,positive,negative
1910179336918872489,"$TSLA Stock: What's Next? | Tesla Stock Analysis
https://t.co/ZQVPCMDWDh",2025-04-10 03:53:37+00:00,positive,negative
1910179317352382923,@briantylercohen Short Tesla and post your position publicly chicken. 😉,2025-04-10 03:53:33+00:00,positive,negative
1910179300919161257,"@JonathanTurley, just to confirm, you are fine with @tesla collaborating with @catl_official and all the #uflpa violations and #forcedlabor stuff? @committeeonccp https://t.co/p39BnVTKrR",2025-04-10 03:53:29+00:00,positive,positive
1910179299736297578,@jaminwestby @Ford @Tesla Man… I’d love to know how many kWh you’ve output with your truck.,2025-04-10 03:53:29+00:00,positive,negative
1910179277405814888,@inflwx_7 I don't have any information from tesla,2025-04-10 03:53:23+00:00,positive,negative
1910179275808153835,"The Idaho legislature overwhelmingly passed a bill allowing ivermectin to be sold over-the-counter without a prescription! Plus, medical freedom protections expanded, anti-DEI legislation advances, and Tesla dealership faces politically-motivated vandalism. Watch our full https://t.co/Tv8dwKDuRF",2025-04-10 03:53:23+00:00,positive,negative
1910179271248671105,"@ehsanECE @OpenAINewsroom @elonmusk Who cares? Look at what he’s doing with @SpaceX. He needs funding, and ever since the Twitter Files exposed serious corruption, some folks on the left have been furious. No more censorship? That’s the real issue.

All the noise around @Tesla vandalism? Connected. It’s",2025-04-10 03:53:22+00:00,positive,positive
1910179260070769005,@inflwx_7 I don't have any information from tesla,2025-04-10 03:53:19+00:00,positive,negative
1910179256618844361,"The conflict between Elon Musk and Trump started over taxes on China, ‘cause Shanghai’s got a massive Tesla factory, and China’s the second-biggest market for Tesla.

And Tesla is the arm that’s hurting Elon. So, will Elon put America first or Tesla first?",2025-04-10 03:53:18+00:00,positive,negative
1910179249098547632,Elon Musk literally received a government loan to build his Tesla factory. He literally used our tax dollars to play in our face.,2025-04-10 03:53:17+00:00,positive,negative
1910179217364668445,"@EvasTeslaSPlaid @Tesla @elonmusk Why the little faith? 😂 
Just wait, and you will see! 
Nothing is guaranteed 100%, but the future is by far brighter than $4trillions",2025-04-10 03:53:09+00:00,positive,positive
1910179195285815583,@SiliconCPA_JD @SpoxCHN_MaoNing Chinese made cars are better than US made ones. I have driven both and own a Chinese car. BYD outsells Tesla.,2025-04-10 03:53:04+00:00,positive,negative
1910179180039557310,"@davidyoope @vitrupo Yes indeed, that’s NVidia’s and frankly, everyone’s (including Tesla) solution to training robots. I just worry this will run into scaling issues as well as limiting what robots can usefully do. 

Figure does have a two stage NN architecture which incorporates an LLM for",2025-04-10 03:53:00+00:00,positive,positive
1910179176788672722,"@AlanFJr @virtaava 1/ no, it is food safety, implemented after heath crisis
2/ that’s BS. It’s a way to self regulate and we know it is not working.
3/ they are but are not suited for the market. Tesla was and was selling a lot.
4/ US imperial system is a pure non tariff barrier… ☺️",2025-04-10 03:52:59+00:00,positive,positive
1910179169235075451,"@TrumpsHurricane A Tesla 😂 I saw one that had a sticker that said, “i bought this before i knew he was evil , i was like huh they scared 😂",2025-04-10 03:52:58+00:00,positive,negative
1910179164520665278,@Mr_Derivatives Tesla is down.,2025-04-10 03:52:56+00:00,positive,negative
1910179163291480260,"@CNBCTV18Live THIS 90 day PAUSE of #TrumpTariff 
by
lunatic bully &amp; fraud businessman #trump 
on EU
is to benefit his DONOR &amp; #DOJE advisor #elonmusk 
begging for
#zerotariffs for his TESLA cars in EU
🤣🤣🤣
BUT
expecting #XiJinping to ""kiss his *ass"" 🤣 🤣 🤣
with
104% #TrumpTariffs on #china",2025-04-10 03:52:56+00:00,positive,positive
1910179154131042308,@AdamSPXtrader @zerohedge My tesla isn't. My house isn't. My job isn't. My food source isn't. My electricity isn't. My water isn't... Try again moron,2025-04-10 03:52:54+00:00,positive,negative
1910179119670735176,@TeslaCamera Tesla with no rearview mirrors,2025-04-10 03:52:46+00:00,positive,negative
1910179106479554740,@tesla_barbie Hello my dear kindly follow me back on this I’d @TESLA1_CARS_mod now I have a suprise for you 🚀❤️,2025-04-10 03:52:43+00:00,positive,negative
1910179092185706830,"@TrueFactsStated Word of advice from professionals - do not look at 5 min charts. We here for a long halt. I bought Tesla at $14 - $15 for majority of our client portfolio. What Trump and Elon are doing is require patience. The same as stock, you will not get rich overnight. The instant",2025-04-10 03:52:39+00:00,positive,neutral
1910179091451646312,Is Tesla going to pay me some advertising fees?😂 https://t.co/GOrgN14e8Z,2025-04-10 03:52:39+00:00,positive,negative
1910179087521399113,https://t.co/b1700PiUjQ  @SpaceX @grok @elonmusk @teslaownersSV @Tesla_Optimus out to get parts moving with discarded exhausting gas from the raptor using that energy from it @SpaceXStarship to move the feet for Mars landing gears Tesla bladless turbine,2025-04-10 03:52:38+00:00,positive,negative
1910179057863377059,"Tesla accomplished wireless power transfer.  We all know it.  We all saw the light bulbs lit up in a field of bulbs stuck in the ground.  Technically, that's wireless power.  And then:  remember the Tower?  That supposedly supplied power tirelessly to other secret devices?

More https://t.co/th5q0NxIEd",2025-04-10 03:52:31+00:00,positive,negative
1910179054835167648,@method81 Your X profile has been selected amoung the Tesla Stock Giveaway Congratulations 🎉,2025-04-10 03:52:30+00:00,positive,negative
1910179044454203701,"@elonmusk good job on DOGE, I'm not American nor in America but I wish if pple could understand the work you are doing for your country and stop vandalizing such beautiful Tesla cars.",2025-04-10 03:52:28+00:00,positive,negative
1910179027748319694,@slimtastic85 Your X profile has been selected amoung the Tesla Stock Giveaway Congratulations 🎉,2025-04-10 03:52:24+00:00,positive,negative
1910179019787481325,@inflwx_7 I don’t know about the tesla phone,2025-04-10 03:52:22+00:00,positive,negative
1910179016235221354,@KimberlyMariey I like that he's a weird dork. I just hate tesla lol. Ev's suck.,2025-04-10 03:52:21+00:00,positive,positive
1910179011113963579,@joma_gc YTD Tesla Stock is down like 30% LOL,2025-04-10 03:52:20+00:00,positive,negative
1910178998572712236,"@DOGEfromWS @cb_doge Not smart. Not factoring in AI. China = low labor costs, cheap goods. US can't make the same goods with higher labor costs, yet, but with AI, and Tesla Optimus its game over. Secondly selling AI compute inference while your Tesla sits idle. Then there is Uber, Uber Eats, and Turo",2025-04-10 03:52:17+00:00,positive,negative
1910178997893489002,"@GrageDustin Then he felt bad and pulled up Tesla stock, and his day was ruined. Haha",2025-04-10 03:52:17+00:00,positive,negative
1910178988682822039,"Imagine if people started to burn down houses of celebrities that displayed the alleged ‘Illuminati hand symbol.’

Is it safe to call the violent Tesla protestors crazed conspiracy theorists already?",2025-04-10 03:52:14+00:00,positive,negative
1910178986262491553,@virtaava People all around the world buy what they want. Nobody was not buying any product for spite. Except for Tesla recently.,2025-04-10 03:52:14+00:00,positive,negative
1910178952204726366,@RonFilipkowski A close contender to “Am considering taking Tesla private at $420. Funding secured.”,2025-04-10 03:52:06+00:00,positive,negative
1910178951873306801,"Another unhinged lunatic was caught slashing Tesla tires in Clovis, California.

Let's make him famous! https://t.co/bGFgOlrwoj",2025-04-10 03:52:06+00:00,positive,negative
1910178949092549046,@ELonMuskNewssX I'll never ever buy a apple 🍏 crap... Tesla all the way,2025-04-10 03:52:05+00:00,positive,negative
1910178944080654469,Okay… but nobody is more content at an unexpected 10 min train crossing delay than a Tesla owner. https://t.co/KnQcpBwveC,2025-04-10 03:52:04+00:00,positive,positive
1910178938921644441,@ClayTravis @GovTimWalz Has someone checked to make sure Walz is still with us after Tesla's day? He's not a young man.,2025-04-10 03:52:03+00:00,positive,positive
1910178913902592461,@elonmusk Is that a Tesla or a time machine? Because I'm ready to zoom into the future! 🚀 https://t.co/bGwwahSVrO,2025-04-10 03:51:57+00:00,positive,positive
1910178898479874219,"US stocks soar! 📈 Trump pauses most tariffs for 90 days – China out. 🇨🇳❌ S&amp;P 500 jumps 9.5%, biggest day since 2008. 💰🚀 $6T tariff fear gone. 😅 Relief or ruse? 🤔
#Stocks #TrumpTariffs #Economy #TradeWar #DoYourOwnResearch
@Reuters @Tesla @CryptoInsider @StockMarketLive",2025-04-10 03:51:53+00:00,positive,negative
1910178898031382717,Enter for your chance to win a Tesla! https://t.co/kZinRJ8UZO,2025-04-10 03:51:53+00:00,positive,positive
1910178840694976872,@x_tesla17120 Yes. I love Tesla❤️❤️,2025-04-10 03:51:39+00:00,positive,negative
1910178836005683577,@wideawake_media The Tesla Scratchers,2025-04-10 03:51:38+00:00,positive,negative
1910178824719077618,"@GuntherEagleman @Tesla @elonmusk 118 miles on 40% charge stop and go traffic …..not bad, oh and rapid acceleration at times… love my LR M-Y",2025-04-10 03:51:35+00:00,positive,negative
1910178809221165253,@AdrianDittmann So your saying Tesla won't pass 500 by end of summer,2025-04-10 03:51:32+00:00,positive,negative
1910178788656488594,"@Rahll @ZacksJerryRig Frequent baseless anti Tesla posts

To draw something guy. This ain’t it.",2025-04-10 03:51:27+00:00,positive,negative
1910178768385122497,@P_A_T011 @elonmusk @WEPEToken @WEPEspartan @WEPEsoilder @wepe_ETHusiast @ilovewepe @AS_WEPESpartan @BandreasHun @BenjaminB2025 @CryptoFrazak And @Tesla Will soon love $WEPE more than the $dollar 💘,2025-04-10 03:51:22+00:00,positive,positive
1910178767420502319,Enter for your chance to win a Tesla! https://t.co/tWsMDYSqkq,2025-04-10 03:51:22+00:00,positive,positive
1910178725469073514,"@justnow1907 It’s amazing that Tesla makes a car with such good AI that both you, in China, and me, in Texas, can both enjoy the same incredible FSD on opposite sides of the world.",2025-04-10 03:51:12+00:00,positive,negative
1910178723128565815,"@WHLeavitt Yes, and protect all Tesla owners and dealers",2025-04-10 03:51:11+00:00,positive,negative
1910178707790344447,"@elonmusk Praying for you!  I saw a Tesla in the parking lot today and wanted to go up and kiss it, but thought an alarm might go off or something.",2025-04-10 03:51:07+00:00,positive,neutral
1910178685984072147,"Open Ai should  be a Tesla subsidiary or X AI subsidiary. Such a joke that Sam Altman has taken a not for profit to maximum profit. 

OpenAI says Musk has run 'unlawful campaign of harassment' in lawsuit https://t.co/ykTqWl6YmX",2025-04-10 03:51:02+00:00,positive,negative
1910178676995698866,Look at the way he smiles and fixes his hat… Even portrait and landscape mode! That’s a legit photo shoot. @cybertruck @TeslaCamera @Tesla https://t.co/XZ1SG3HGbm,2025-04-10 03:51:00+00:00,positive,positive
1910178652333166866,"@atadbitsilly @I_Like_Buttes @TrueFactsStated I’m not delusional to believe Tesla is not doing good, it was running fine with $90 share prices, Elon is signicantly more rich today and has multiple companies of power. He literally owns near 50% of spaceX valued at 200 billion.

Stop your political bias and look at reality",2025-04-10 03:50:54+00:00,positive,neutral
1910178647698202885,Lucid is about to see what it looks like when Tesla hits their own back yard and it’s not going to be pretty lol https://t.co/I4YwRxD9X7,2025-04-10 03:50:53+00:00,positive,negative
1910178640446304536,"Dow Jones jumps 2962 points to close at 40,608 after Trump’s 90-day tariff pause announcement! 🚀📈

Tech, Tesla, Semiconductors lead the rally!

Full update ⬇️
 https://t.co/oXk574aHLr
#DowJones #USStockMarket #TrumpNews #TariffPause",2025-04-10 03:50:51+00:00,positive,negative
1910178640123617616,"@BurninTRanch @lupash8 @elonmusk @Tesla Nice Tesla to someone who gets enough attention &amp; publicity to make it worth it. 
Public gestures of good will are about as worthless as a dollar, but that’s just my opinion. However, I still cant resist being happy for the young man &amp; his family",2025-04-10 03:50:51+00:00,positive,negative
1910178637531468036,"@elonmusk ""Tesla is a phonix."" -ART🐦‍🔥 https://t.co/EscCHQU5XD",2025-04-10 03:50:51+00:00,positive,negative
